,receptor,TF
0,LRP1,PLSCR1
1,LRP1,STAT3
2,LRP1,AR
3,LRP1,STAT1
4,LRP1,RXRA
5,LRP1,PPARG
6,LRP1,RUNX1
7,LRP1,STAT5A
8,LRP1,FOXM1
9,LRP1,IRF3
10,LRP1,IRF4
11,LRP1,SMAD3
12,LRP1,STAT5B
13,LRP1,ESR1
14,LRP1,GTF2I
15,LRP1,KLF16
16,LRP1,FOS
17,LRP1,NFKB1
18,LRP1,RELA
19,LRP1,TCF7L2
20,LRP1,TCF7
21,LRP1,HNF1A
22,LRP1,TCF3
23,LRP1,LEF1
24,LRP1,SMAD4
25,LRP1,TCF4
26,LRP1,DLX5
27,LRP1,GBX2
28,LRP1,PAX2
29,LRP1,PAX8
30,LRP1,HES1
31,LRP1,SOX9
32,LRP1,MITF
33,MTNR1A,GLI1
34,MTNR1A,GABPA
35,MTNR1A,CEBPB
36,MTNR1A,MITF
37,MTNR1A,HIF1A
38,MTNR1A,ELK1
39,MTNR1A,BCL6
40,MTNR1A,GATA2
41,MTNR1A,GATA1
42,MTNR1A,STAT3
43,MTNR1A,SMAD3
44,MTNR1A,SMAD2
45,MTNR1A,FOS
46,MTNR1A,MEF2B
47,MTNR1A,ESR1
48,MTNR1A,IRX2
49,MTNR1A,ERF
50,MTNR1A,JUND
51,MTNR1A,RUNX1
52,MTNR1A,TP53
53,MTNR1A,THRB
54,MTNR1A,SP1
55,MTNR1A,YBX1
56,MTNR1A,NR4A1
57,MTNR1A,NCOA1
58,MTNR1A,NR4A2
59,MTNR1A,ATF2
60,MTNR1A,PPARA
61,MTNR1A,TWIST1
62,MTNR1A,TCF3
63,MTNR1A,RXRA
64,MTNR1A,AR
65,MTNR1A,MAFA
66,MTNR1A,MYC
67,MTNR1A,JUN
68,MTNR1A,SREBF2
69,MTNR1A,EPAS1
70,MTNR1A,SMAD4
71,MTNR1A,STAT5A
72,MTNR1A,SP3
73,MTNR1A,GTF2I
74,MTNR1A,SREBF1
75,MTNR1A,NR5A1
76,MTNR1A,NFATC4
77,MTNR1A,ELK4
78,MTNR1A,RELA
79,MTNR1A,E2F1
80,MTNR1A,GATA4
81,MTNR1A,RARA
82,MTNR1A,STAT1
83,MTNR1A,ETS1
84,MTNR1A,EGR1
85,MTNR1A,ESR2
86,MTNR1A,CREB3
87,MTNR1A,MEF2C
88,MTNR1A,RUNX2
89,MTNR1A,ZBED1
90,MTNR1A,HNF4A
91,MTNR1A,RXRB
92,MTNR1A,RARG
93,MTNR1A,RARB
94,MTNR1A,NFKB1
95,MTNR1A,TSC22D3
96,MTNR1A,FOSB
97,MTNR1A,SOX10
98,MTNR1A,RXRG
99,MTNR1A,MTA1
100,MTNR1A,CREB1
101,MTNR1A,HNF1A
102,MTNR1A,NR1H4
103,MTNR1A,IKZF3
104,MTNR1A,STAT2
105,MTNR1A,CREB3L4
106,MTNR1A,CREB3L1
107,MTNR1A,ATF4
108,MTNR1A,ATF6B
109,MTNR1A,CREB3L3
110,MTNR1A,CREB3L2
111,MTNR1A,CREB5
112,MTNR1A,SMAD1
113,MTNR1A,TAL1
114,MTNR1A,ELK3
115,MTNR1A,UBTF
116,MTNR1A,HSF1
117,MTNR1A,MAZ
118,MTNR1A,TFCP2
119,MTNR1A,MXD1
120,MTNR1A,SPDEF
121,MTNR1A,NKX2-1
122,MTNR1A,ZHX1
123,MTNR1A,PINX1
124,MTNR1A,PURA
125,MTNR1B,GLI1
126,AGTR2,RELA
127,AGTR2,CREB1
128,AGTR2,ZBTB7A
129,AGTR2,MYC
130,AGTR2,STAT3
131,AGTR2,SP1
132,AGTR2,NFKB1
133,AGTR2,STAT5A
134,AGTR2,EGR1
135,AGTR2,ELK1
136,AGTR2,ETS1
137,BDKRB2,GLI1
138,ADRB2,GLI1
139,ADRB2,GABPA
140,ADRB2,CEBPB
141,ADRB2,TCF3
142,ADRB2,HIF1A
143,ADRB2,STAT3
144,ADRB2,JUND
145,ADRB2,ELK1
146,ADRB2,GATA1
147,ADRB2,ELK4
148,ADRB2,SMAD1
149,ADRB2,SMAD3
150,ADRB2,SMAD2
151,ADRB2,STAT5A
152,ADRB2,MYC
153,ADRB2,TAL1
154,ADRB2,ELK3
155,ADRB2,ETS1
156,ADRB2,FOS
157,ADRB2,TWIST1
158,ADRB2,ESR1
159,ADRB2,SP1
160,ADRB2,IRX2
161,ADRB2,SREBF2
162,ADRB2,SREBF1
163,ADRB2,SMAD4
164,ADRB2,ATF2
165,ADRB2,E2F1
166,ADRB2,RXRA
167,ADRB2,NCOA1
168,ADRB2,RUNX2
169,ADRB2,EPAS1
170,ADRB2,UBTF
171,ADRB2,JUN
172,ADRB2,GTF2I
173,ADRB2,PPARA
174,ADRB2,HSF1
175,ADRB2,MAZ
176,ADRB2,TFCP2
177,ADRB2,NFATC4
178,ADRB2,MITF
179,ADRB2,SP3
180,ADRB2,TP53
181,ADRB2,GATA4
182,ADRB2,RARG
