,TF,target
0,MYC,TERT
1,SPI1,BGLAP
2,JUNB,JUN
3,JUND,JUN
4,JUN,JUN
5,SMAD3,JUN
6,SMAD4,JUN
7,STAT5A,IL2
8,STAT5B,IL2
9,RELA,FAS
10,WT1,NR0B1
11,NR0B2,CASP1
12,SP1,ALDOA
13,RUNX1,RHD
14,STAT1,CDKN1A
15,STAT3,CDKN1A
16,TP53,POLI
17,ETV4,GGT1
18,CREB1,HMGCS2
19,FOXA2,GCG
20,NFATC2,GCG
21,CEBPB,PCK1
22,FOS,ABCB1
23,RELA,ABCB1
24,TP53,CDKN1A
25,E2F1,CDKN1A
26,E2F3,CDKN1A
27,YY1,NR3C1
28,JUNB,ESR1
29,JUND,ESR1
30,JUN,ESR1
31,ESR1,MAPK8
32,JUN,MAPK8
33,NR1I3,CYP2B6
34,TP53,ACTA1
35,STAT4,IL12B
36,STAT4,IFNA1
37,STAT4,IRF1
38,JUNB,IL6
39,JUND,IL6
40,JUN,IL6
41,ATF2,IL6
42,WT1,ODC1
43,NR2C2,CCND1
44,IRF3,IFNA1
45,RELB,BCL2
46,REL,BCL2
47,NFKB2,BCL2
48,RELA,BCL2
49,NFKB1,BCL2
50,RELB,BCL2A1
51,REL,BCL2A1
52,NFKB2,BCL2A1
53,RELA,BCL2A1
54,NFKB1,BCL2A1
55,RELB,SLC31A1
56,REL,SLC31A1
57,NFKB2,SLC31A1
58,RELA,SLC31A1
59,NFKB1,SLC31A1
60,RELB,TNF
61,REL,TNF
62,NFKB2,TNF
63,RELA,TNF
64,NFKB1,TNF
65,RELB,CCL13
66,REL,CCL13
67,NFKB2,CCL13
68,RELA,CCL13
69,NFKB1,CCL13
70,TFAP2A,CCL13
71,HNF1A,IGF1
72,STAT5A,IGF1
73,JUNB,TIMP1
74,JUND,TIMP1
75,JUN,TIMP1
76,ETS1,TIMP1
77,ETV4,TIMP1
78,CEBPB,ADRA1D
79,ARNT,CYP1B1
80,AHR,CYP1B1
81,PAX6,L1CAM
82,STAT5A,CCND1
83,STAT5A,IL3
84,CEBPB,VLDLR
85,TP53,MDM2
86,ZNF148,CDKN1A
87,RBPJ,HES1
88,ATF2,CCND1
89,JUN,CCND1
90,FOS,MAPK14
91,GATA4,INHA
92,GATA4,GATA6
93,E2F3,RBL1
94,NFATC2,IL4
95,JUNB,MAPK8
96,JUND,MAPK8
98,HNF4A,GUCY2C
99,RXRG,SFTPB
100,RARA,SFTPB
101,JUN,CDKN1A
102,TP53,JUN
103,STAT3,PRF1
104,DBP,JTB
105,PPARG,SERPINE2
106,USF2,PDLIM7
107,IRF1,SAMHD1
108,IRF2,SAMHD1
109,IRF1,IFNG
110,IRF1,NOS2
111,RELB,IRAK1
112,REL,IRAK1
113,NFKB2,IRAK1
114,RELA,IRAK1
115,NFKB1,IRAK1
116,RELB,IRAK2
117,REL,IRAK2
118,NFKB2,IRAK2
119,RELA,IRAK2
120,NFKB1,IRAK2
121,RELB,TRAF2
122,REL,TRAF2
123,NFKB2,TRAF2
124,RELA,TRAF2
125,NFKB1,TRAF2
126,SP1,FASLG
127,SP3,FASLG
